artist,trigger,count,url,score
47agdragon,47agdragon,462,https://danbooru.donmai.us/posts?tags=47agdragon,0.17973148822784424
49s-aragon,49s-aragon,315,https://danbooru.donmai.us/posts?tags=49s-aragon,0.20497043430805206
4_(nakajima4423),4 (nakajima4423),199,https://danbooru.donmai.us/posts?tags=4_(nakajima4423),0.3762332499027252
4b-enpitsu,4b-enpitsu,198,https://danbooru.donmai.us/posts?tags=4b-enpitsu,0.4168628454208374
4qw5,4qw5,243,https://danbooru.donmai.us/posts?tags=4qw5,0.46438416838645935
4shi,4shi,369,https://danbooru.donmai.us/posts?tags=4shi,0.17427843809127808
4suke,4suke,212,https://danbooru.donmai.us/posts?tags=4suke,0.15939311683177948
547th_sy,547th sy,419,https://danbooru.donmai.us/posts?tags=547th_sy,0.19485785067081451
54hao,54hao,269,https://danbooru.donmai.us/posts?tags=54hao,0.2074904888868332
58_(opal_00_58),58 (opal 00 58),152,https://danbooru.donmai.us/posts?tags=58_(opal_00_58),0.6465906500816345
5altybitter5,5altybitter5,237,https://danbooru.donmai.us/posts?tags=5altybitter5,0.35078081488609314
5danny1206,5danny1206,335,https://danbooru.donmai.us/posts?tags=5danny1206,0.393393874168396
5rwpvc,5rwpvc,259,https://danbooru.donmai.us/posts?tags=5rwpvc,0.267681360244751
5saiji,5saiji,111,https://danbooru.donmai.us/posts?tags=5saiji,0.303562730550766
5t_(5t_000),5t (5t 000),172,https://danbooru.donmai.us/posts?tags=5t_(5t_000),0.4097728729248047
5tatsu,5tatsu,124,https://danbooru.donmai.us/posts?tags=5tatsu,0.22697791457176208
5tb,5tb,127,https://danbooru.donmai.us/posts?tags=5tb,0.1942700892686844
60mai,60mai,556,https://danbooru.donmai.us/posts?tags=60mai,0.559457004070282
69_(tranquilo),69 (tranquilo),133,https://danbooru.donmai.us/posts?tags=69_(tranquilo),0.41880783438682556
6_(yuchae),6 (yuchae),1151,https://danbooru.donmai.us/posts?tags=6_(yuchae),0.49557945132255554
6_yin,6 yin,122,https://danbooru.donmai.us/posts?tags=6_yin,0.7010486721992493
6maker,6maker,119,https://danbooru.donmai.us/posts?tags=6maker,0.22646300494670868
6u_(eternal_land),6u (eternal land),613,https://danbooru.donmai.us/posts?tags=6u_(eternal_land),0.6486199498176575
7001,7001,129,https://danbooru.donmai.us/posts?tags=7001,0.12399964779615402
7010,7010,1026,https://danbooru.donmai.us/posts?tags=7010,0.2136569321155548
71,71,360,https://danbooru.donmai.us/posts?tags=71,0.1843140870332718
723/nanahumi,723/nanahumi,185,https://danbooru.donmai.us/posts?tags=723/nanahumi,0.5740731358528137
73suke,73suke,117,https://danbooru.donmai.us/posts?tags=73suke,0.30429956316947937
74,74,397,https://danbooru.donmai.us/posts?tags=74,0.11995619535446167
770mk,770mk,151,https://danbooru.donmai.us/posts?tags=770mk,0.1861962229013443
774_(nanashi),774 (nanashi),779,https://danbooru.donmai.us/posts?tags=774_(nanashi),0.4300912320613861
778-go,778-go,118,https://danbooru.donmai.us/posts?tags=778-go,0.6811862587928772
77gl,77gl,281,https://danbooru.donmai.us/posts?tags=77gl,0.5479064583778381
78rr,78rr,107,https://danbooru.donmai.us/posts?tags=78rr,0.1516144871711731
7_calpis_7,7 calpis 7,144,https://danbooru.donmai.us/posts?tags=7_calpis_7,0.3357374966144562
7aka_ne11,7aka ne11,117,https://danbooru.donmai.us/posts?tags=7aka_ne11,0.476780503988266
7fuji_06,7fuji 06,122,https://danbooru.donmai.us/posts?tags=7fuji_06,0.379933625459671
7gao,7gao,245,https://danbooru.donmai.us/posts?tags=7gao,0.46277880668640137
7ife,7ife,182,https://danbooru.donmai.us/posts?tags=7ife,0.4843038022518158
7lark,7lark,107,https://danbooru.donmai.us/posts?tags=7lark,0.6252760887145996
7saki,7saki,435,https://danbooru.donmai.us/posts?tags=7saki,0.6763092875480652
7zu7,7zu7,157,https://danbooru.donmai.us/posts?tags=7zu7,0.4297667145729065
8-gou_(mechanist08),8-gou (mechanist08),171,https://danbooru.donmai.us/posts?tags=8-gou_(mechanist08),0.3205114006996155
80isiiii,80isiiii,135,https://danbooru.donmai.us/posts?tags=80isiiii,0.42357537150382996
